skill;course_name;link;platform
game physics;Game Physics - Introducing Gravitation & Rotation in Unity;https://www.udemy.com/course/gamephysics/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Game+Physics+Course&utm_content=o&funnel=&test=&msclkid=2254c8c6a4041ef6834da18418baed64&couponCode=CM251217G2;Udemy
troubleshooting;IT Troubleshooting Skill Training;https://www.udemy.com/course/it-troubleshooting/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=IT+Troubleshooting+Tutorial&utm_content=o&funnel=&test=&msclkid=e36f9d7479ef10e24ad9f436a76f875e&couponCode=CM251217G2;Udemy
firewalls;Linux Firewalls;https://www.udemy.com/course/linux-firewalls/?couponCode=CM251217G2;Udemy
sharepoint;Getting Started With SharePoint Online;https://www.udemy.com/course/gs-sp-online/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=sharepoint+course&utm_content=o&funnel=&test=&msclkid=ea56792ca3e0153e6037106e1cf78fff&couponCode=CM251217G2;Udemy
siem tools;Introduction to SIEM (Splunk);https://www.coursera.org/learn/siem-splunk-hands-on-guide;Coursera
cypress;Cypress Automation Testing Framework - Zero To Hero;https://www.coursera.org/learn/packt-cypress-automation-testing-framework-zero-to-hero-njypp;Coursera
postgresql;PostgreSQL Databases | Python Programming(Build App and API);https://www.udemy.com/course/postgresql-databases-python-programmingbuild-app-and-api/?utm_campaign=BG-Search_DSA_Alpha_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Python+en&utm_content=o&funnel=&test=&msclkid=a4ee972abb0017073506fe680580dc5e&couponCode=CM251217G2;Udemy
test cases;Fundamentals of Test Case Design;https://www.coursera.org/learn/fundamentals-of-test-case-design;Coursera
wireframing;Draw a wireframe in Wireframe.cc;https://www.coursera.org/projects/draw-a-wireframe-in-wireframe-cc;Coursera
pen testing;Hacking Web Applications & Penetration Testing: Web Hacking;https://www.udemy.com/course/hacking-web-applications-and-learn-penetration-testing/?couponCode=CM251217G2;Udemy
airflow;The Complete Hands-On Introduction to Apache Airflow 3;https://www.udemy.com/course/the-complete-hands-on-course-to-master-apache-airflow/?couponCode=CM251217G2;Udemy
oracle database;Oracle Database Administration from Zero to Hero Specialization;https://www.coursera.org/specializations/packt-oracle-database-administration-from-zero-to-hero;Coursera
business processes;Introduction to Business Process Modeling;https://www.udemy.com/course/intro-to-bpm/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Business+Process+Management+Training&utm_content=o&funnel=&test=&msclkid=89c0c8c6002710d43153a184ba4dc21a&couponCode=CM251217G2;Udemy
sdlc;2023 SDLC Full Stack Course Spring Boot 3, MongoDB, Docker;https://www.udemy.com/course/sdlc-with-soa-spring-jms-git-activemq-mongodb-jenkins/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=SDLC+Course&utm_content=o&funnel=&test=&msclkid=163b9e44614c1a4f9f59f706dca44899&couponCode=CM251217G2;Udemy
workflow automation;workflow automation;https://www.coursera.org/learn/workflow-automation-using-generative-ai;Coursera
erp systems;Managing Enterprise Resource Planning (ERP) Implementation;https://www.udemy.com/course/managing-enterprise-resource-planning-erp-implementation/?couponCode=CM251217G2;Udemy
